"Time";"IMSI";"Event type";"Release reason";"MoC establishment time avg (s)";"MtC establishment time avg (s)";"RTP UL pkts lost";"RTP UL MOS CQ avg";"RTP DL MOS CQ avg";"Conv time (s)"
2023-11-05 15:37:16.390;"1797132974";"MoC release";"(SIP);200;OK";;;0;4.1;4.1;31.3
2023-11-05 15:37:16.390;"1797132974";"MoC setup";"(SIP);200;OK";1.2;0;;;;
2023-11-05 15:37:16.408;"1765893326";"MtC release";"(SIP);200;OK";;;0;4.1;4.2;43.1
2023-11-05 15:37:16.408;"1765893326";"MtC setup";"(SIP);200;OK";0;0.9;;;;
2023-11-05 15:37:16.516;"1765848759";"MtC setup";"(SIP Reason)(Q.850);19;No answer from user (user alerted)";0;0.3;;;;
2023-11-05 15:37:16.572;"1797132976";"MtC release";"(SIP);200;OK";;;0;4.1;4.1;31.5
2023-11-05 15:37:16.572;"1797132976";"MtC setup";"(SIP);200;OK";0;0.6;;;;
2023-11-05 15:37:16.577;"1763473229";"MtC setup";"(SIP);487;Request Terminated";0;0.4;;;;
2023-11-05 15:37:16.671;"1763268684";"MoC setup";"(SIP);486;Busy Here";0;0;;;;
2023-11-05 15:37:16.675;"1763194316";"MoC setup";"(SIP);487;Request Terminated";1.9;0;;;;
2023-11-05 15:37:16.715;"1763744077";"MoC release";"(SIP);200;OK";;;13;4;4.2;1062
2023-11-05 15:37:16.715;"1763744077";"MoC setup";"(SIP);200;OK";15.9;0;;;;
2023-11-05 15:37:16.754;"1763764977";"MtC release";"(SIP);200;OK";;;0;4.1;4.2;1062.2
2023-11-05 15:37:16.754;"1763764977";"MtC setup";"(SIP);200;OK";0;0.2;;;;
2023-11-05 15:37:16.803;"1763573147";"MoC release";"(SIP);200;OK";;;0;4.1;4.2;10.3
2023-11-05 15:37:16.803;"1763573147";"MoC setup";"(SIP);200;OK";4.2;0;;;;
2023-11-05 15:37:16.804;"1763243015";"MtC release";"(SIP);200;OK";;;1;3.7;4;33.5
2023-11-05 15:37:16.804;"1763243015";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:16.809;"1763182688";"MtC release";"(SIP);200;OK";;;0;4.2;4.2;31.6
2023-11-05 15:37:16.809;"1763182688";"MtC setup";"(SIP);200;OK";0;0.5;;;;
2023-11-05 15:37:16.873;"1765895358";"MtC release";"(SIP);200;OK";;;0;4.2;4.1;10.3
2023-11-05 15:37:16.873;"1765895358";"MtC setup";"(SIP);200;OK";0;0.7;;;;
2023-11-05 15:37:16.880;"1763430427";"MoC release";"(SIP);200;OK";;;1;3.9;4.1;126.6
2023-11-05 15:37:16.880;"1763430427";"MoC setup";"(SIP);200;OK";1.5;0;;;;
2023-11-05 15:37:16.897;"1763277657";"MtC release";"(SIP);200;OK";;;4;4.1;4.2;209
2023-11-05 15:37:16.897;"1763277657";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:16.953;"1761454891";"MtC release";"(SIP);200;OK";;;0;4;3.9;55.3
2023-11-05 15:37:16.953;"1761454891";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:16.964;"1797185848";"MtC setup";"(SIP);487;Request Terminated";0;0.3;;;;
2023-11-05 15:37:17.031;"1766532031";"MtC release";"(SIP);200;OK";;;0;4;4.1;17.7
2023-11-05 15:37:17.031;"1766532031";"MtC setup";"(SIP);200;OK";0;0.5;;;;
2023-11-05 15:37:17.081;"1763413043";"MoC setup";"(SIP);487;Request Terminated";1;0;;;;
2023-11-05 15:37:17.119;"1797124026";"MoC release";"(SIP);200;OK";;;2;4.2;4.1;249.2
2023-11-05 15:37:17.119;"1797124026";"MoC setup";"(SIP);200;OK";1.3;0;;;;
2023-11-05 15:37:17.141;"1763711082";"MoC setup";"(SIP);486;Busy Here";2.1;0;;;;
2023-11-05 15:37:17.152;"1763091308";"MoC release";"(SIP);200;OK";;;0;3.8;4.2;560.7
2023-11-05 15:37:17.152;"1763091308";"MoC setup";"(SIP);200;OK";4.3;0;;;;
2023-11-05 15:37:17.161;"1763084944";"MoC release";"(SIP);200;OK";;;0;4;4.2;107.1
2023-11-05 15:37:17.161;"1763084944";"MoC setup";"(SIP);200;OK";2.3;0;;;;
2023-11-05 15:37:17.204;"1763769682";"MtC release";"(SIP);200;OK";;;14;4.1;4.2;249.2
2023-11-05 15:37:17.204;"1763769682";"MtC setup";"(SIP);200;OK";0;0.8;;;;
2023-11-05 15:37:17.277;"1765830215";"MtC release";"(SIP);200;OK";;;2;4;4;82.4
2023-11-05 15:37:17.277;"1765830215";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:17.282;"1763174070";"MtC release";"(SIP);200;OK";;;0;4.2;4.1;55.8
2023-11-05 15:37:17.282;"1763174070";"MtC setup";"(SIP);200;OK";0;0.5;;;;
2023-11-05 15:37:17.318;"1763089398";"MoC release";"(SIP);200;OK";;;1;4.1;4.2;55.8
2023-11-05 15:37:17.318;"1763089398";"MoC setup";"(SIP);200;OK";1.6;0;;;;
2023-11-05 15:37:17.360;"1797128552";"MtC release";"(SIP);200;OK";;;0;3.9;4;13.7
2023-11-05 15:37:17.360;"1797128552";"MtC setup";"(SIP);200;OK";0;0.5;;;;
2023-11-05 15:37:17.380;"1763084945";"MtC release";"(SIP);200;OK";;;7;4.2;4;107.1
2023-11-05 15:37:17.380;"1763084945";"MtC setup";"(SIP);200;OK";0;0.8;;;;
2023-11-05 15:37:17.403;"1763725534";"MoC release";"(SIP);200;OK";;;1;4;4;53.6
2023-11-05 15:37:17.403;"1763725534";"MoC setup";"(SIP);200;OK";2.7;0;;;;
2023-11-05 15:37:17.427;"1763491724";"MoC setup";"(SIP);486;Busy Here";2.5;0;;;;
2023-11-05 15:37:17.457;"1763463926";"MoC release";"(SIP);200;OK";;;0;4;4.1;42.1
2023-11-05 15:37:17.457;"1763463926";"MoC setup";"(SIP);200;OK";2.2;0;;;;
2023-11-05 15:37:17.547;"1763823026";"MoC release";"(SIP);200;OK";;;3;4;4.1;21.4
2023-11-05 15:37:17.547;"1763823026";"MoC setup";"(SIP);200;OK";2.7;0;;;;
2023-11-05 15:37:17.603;"1763511424";"MoC release";"(SIP);200;OK";;;1;3.7;4.2;69.7
2023-11-05 15:37:17.603;"1763511424";"MoC setup";"(SIP);200;OK";2;0;;;;
2023-11-05 15:37:17.629;"1765816591";"MtC release";"(SIP);200;OK";;;0;4.1;4.2;19.2
2023-11-05 15:37:17.629;"1765816591";"MtC setup";"(SIP);200;OK";0;1.8;;;;
2023-11-05 15:37:17.651;"1763439795";"MoC release";"(SIP);200;OK";;;0;4.1;4.1;14.6
2023-11-05 15:37:17.651;"1763439795";"MoC setup";"(SIP);200;OK";2.1;0;;;;
2023-11-05 15:37:17.656;"1763711528";"MoC release";"(SIP);200;OK";;;0;3.9;4.2;95.9
2023-11-05 15:37:17.656;"1763711528";"MoC setup";"(SIP);200;OK";2.6;0;;;;
2023-11-05 15:37:17.686;"1763146879";"MtC release";"(SIP);200;OK";;;0;4.2;4.2;8.9
2023-11-05 15:37:17.686;"1763146879";"MtC setup";"(SIP);200;OK";0;0.5;;;;
2023-11-05 15:37:17.717;"1763756699";"MoC release";"(SIP);200;OK";;;0;4;4;0.6
2023-11-05 15:37:17.717;"1763756699";"MoC setup";"(SIP);200;OK";3.9;0;;;;
2023-11-05 15:37:17.790;"1763726634";"MoC release";"(SIP);200;OK";;;0;4;4.1;17.7
2023-11-05 15:37:17.790;"1763726634";"MoC setup";"(SIP);200;OK";1.8;0;;;;
2023-11-05 15:37:17.854;"1763287450";"MtC release";"(SIP);200;OK";;;0;4;4;91.5
2023-11-05 15:37:17.854;"1763287450";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:18.017;"1765858006";"MoC release";"(SIP);200;OK";;;0;4.2;4.2;10.8
2023-11-05 15:37:18.017;"1765858006";"MoC setup";"(SIP);200;OK";3.9;0;;;;
2023-11-05 15:37:18.043;"1763110616";"MtC release";"(SIP);200;OK";;;2;4;4;403.5
2023-11-05 15:37:18.043;"1763110616";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:18.081;"1763507659";"MoC release";"(SIP);200;OK";;;69;4;4.1;326.6
2023-11-05 15:37:18.081;"1763507659";"MoC setup";"(SIP);200;OK";2.3;0;;;;
2023-11-05 15:37:18.146;"1765804625";"MoC setup";"(SIP);487;Request Terminated";1.8;0;;;;
2023-11-05 15:37:18.180;"1763572745";"MoC setup";"(SIP);486;Busy Here";1.9;0;;;;
2023-11-05 15:37:18.217;"1763218880";"MtC release";"(SIP);200;OK";;;9;4.1;4;326.6
2023-11-05 15:37:18.217;"1763218880";"MtC setup";"(SIP);200;OK";0;0.8;;;;
2023-11-05 15:37:18.225;"1765857248";"MoC setup";"(SIP);487;Request Terminated";0;0;;;;
2023-11-05 15:37:18.319;"1797105149";"MoC setup";"(SIP);487;Request Terminated";4.4;0;;;;
2023-11-05 15:37:18.339;"1763237172";"MtC release";"(SIP);200;OK";;;6;4.1;4.2;521.6
2023-11-05 15:37:18.339;"1763237172";"MtC setup";"(SIP);200;OK";0;0.8;;;;
2023-11-05 15:37:18.401;"1763135098";"MoC release";"(SIP);200;OK";;;0;3.7;3.7;36.8
2023-11-05 15:37:18.401;"1763135098";"MoC setup";"(SIP);200;OK";1.8;0;;;;
2023-11-05 15:37:18.436;"1765890454";"MtC release";"(SIP);200;OK";;;17;3.6;3.7;36.8
2023-11-05 15:37:18.436;"1765890454";"MtC setup";"(SIP);200;OK";0;0.6;;;;
2023-11-05 15:37:18.470;"1763711994";"MoC setup";"(SIP);486;Busy Here";0;0;;;;
2023-11-05 15:37:18.479;"1763410359";"MoC setup";"(SIP);480;Temporarily Unavailable";0;0;;;;
2023-11-05 15:37:18.519;"1763014040";"MtC release";"(SIP);200;OK";;;3;4.1;4.2;385.8
2023-11-05 15:37:18.519;"1763014040";"MtC setup";"(SIP);200;OK";0;0.5;;;;
2023-11-05 15:37:18.542;"1765816977";"MoC setup";"(SIP);487;Request Terminated";3.7;0;;;;
2023-11-05 15:37:18.656;"1763429675";"MtC setup";"(SIP Reason)(Q.850);19;No answer from user (user alerted)";0;0.8;;;;
2023-11-05 15:37:18.722;"1765865012";"MtC release";"(SIP);200;OK";;;0;3.4;4;31.9
2023-11-05 15:37:18.722;"1765865012";"MtC setup";"(SIP);200;OK";0;0.3;;;;
2023-11-05 15:37:18.740;"1763512869";"MtC release";"(SIP);200;OK";;;0;4;4.1;63.8
2023-11-05 15:37:18.740;"1763512869";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:18.753;"1761458860";"MtC setup";"(SIP Reason)(Q.850);19;No answer from user (user alerted)";0;0.8;;;;
2023-11-05 15:37:18.766;"1763742971";"MtC setup";"(SIP);487;Request Terminated";0;0.3;;;;
2023-11-05 15:37:18.781;"1765812436";"MoC release";"(SIP);200;OK";;;0;4;4.1;18.8
2023-11-05 15:37:18.781;"1765812436";"MoC setup";"(SIP);200;OK";1;0;;;;
2023-11-05 15:37:18.588;"1765869808";"MtC release";"(SIP);200;OK";;;0;3.7;4;22.8
2023-11-05 15:37:18.588;"1765869808";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:18.901;"1797169779";"MoC release";"(SIP);200;OK";;;0;3.8;4.2;70.9
2023-11-05 15:37:18.901;"1797169779";"MoC setup";"(SIP);200;OK";0.8;0;;;;
2023-11-05 15:37:18.970;"1763726746";"MtC release";"(SIP);200;OK";;;0;4.1;4.2;50
2023-11-05 15:37:18.970;"1763726746";"MtC setup";"(SIP);200;OK";0;0.5;;;;
2023-11-05 15:37:19.137;"1763590971";"MtC release";"(SIP);200;OK";;;0;3.7;4;113
2023-11-05 15:37:19.137;"1763590971";"MtC setup";"(SIP);200;OK";0;0.6;;;;
2023-11-05 15:37:19.154;"1763410729";"MoC release";"(SIP);200;OK";;;294;1;4.2;19.1
2023-11-05 15:37:19.154;"1763410729";"MoC setup";"(SIP);200;OK";4.6;0;;;;
2023-11-05 15:37:19.162;"1797191900";"MoC release";"(SIP);200;OK";;;0;3.8;4.1;1
2023-11-05 15:37:19.162;"1797191900";"MoC setup";"(SIP);200;OK";1.8;0;;;;
2023-11-05 15:37:19.286;"1763200173";"MoC release";"(SIP);200;OK";;;11;4;4.1;587.3
2023-11-05 15:37:19.286;"1763200173";"MoC setup";"(SIP);200;OK";3.7;0;;;;
2023-11-05 15:37:19.332;"1765890223";"MtC release";"(SIP);200;OK";;;0;4.2;4.2;10.2
2023-11-05 15:37:19.332;"1765890223";"MtC setup";"(SIP);200;OK";0;0.5;;;;
2023-11-05 15:37:19.336;"1763215479";"MoC setup";"(SIP);487;Request Terminated";3.1;0;;;;
2023-11-05 15:37:19.339;"1763254002";"MoC release";"(SIP);200;OK";;;0;4.2;4.2;10.2
2023-11-05 15:37:19.339;"1763254002";"MoC setup";"(SIP);200;OK";2.2;0;;;;
2023-11-05 15:37:19.379;"1763912286";"MoC setup";"(SIP);487;Request Terminated";2.5;0;;;;
2023-11-05 15:37:19.386;"1763081147";"MtC setup";"(SIP Reason)(Q.850);19;No answer from user (user alerted)";0;0.4;;;;
2023-11-05 15:37:19.396;"1763490421";"MoC setup";"(SIP Reason)(Q.850);20;Subscriber absent";0;0;;;;
2023-11-05 15:37:19.527;"1763935175";"MtC release";"(SIP);200;OK";;;0;3.4;4;15.8
2023-11-05 15:37:19.527;"1763935175";"MtC setup";"(SIP);200;OK";0;0.3;;;;
2023-11-05 15:37:19.551;"1763429692";"MoC release";"(SIP);200;OK";;;1;3.8;4.1;36.8
2023-11-05 15:37:19.551;"1763429692";"MoC setup";"(SIP);200;OK";2.2;0;;;;
2023-11-05 15:37:19.580;"1763219090";"MtC setup";"(SIP);486;Busy Here";0;0.4;;;;
2023-11-05 15:37:19.581;"1797128738";"MtC release";"(SIP);200;OK";;;4;4.1;4.2;1121.6
2023-11-05 15:37:19.581;"1797128738";"MtC setup";"(SIP);200;OK";0;0.8;;;;
2023-11-05 15:37:19.609;"1797176156";"MtC release";"(SIP);200;OK";;;4;4.1;4.2;76.8
2023-11-05 15:37:19.609;"1797176156";"MtC setup";"(SIP);200;OK";0;0.6;;;;
2023-11-05 15:37:19.615;"1763177480";"MtC release";"(SIP);200;OK";;;0;4;4;44.7
2023-11-05 15:37:19.615;"1763177480";"MtC setup";"(SIP);200;OK";0;0.3;;;;
2023-11-05 15:37:19.648;"1763162835";"MoC setup";"(SIP);486;Busy Here";6;0;;;;
2023-11-05 15:37:19.659;"1763179235";"MoC setup";"(SIP);487;Request Terminated";2.1;0;;;;
2023-11-05 15:37:19.671;"1763224088";"MoC setup";"(SIP);487;Request Terminated";5;0;;;;
2023-11-05 15:37:19.688;"1763186046";"MoC setup";"(SIP);486;Busy Here";1.2;0;;;;
2023-11-05 15:37:19.715;"1763417612";"MoC setup";"(SIP Reason)(Q.850);20;Subscriber absent";0;0;;;;
2023-11-05 15:37:19.814;"1763404954";"MoC release";"(SIP);200;OK";;;0;3.4;4.1;10.2
2023-11-05 15:37:19.814;"1763404954";"MoC setup";"(SIP);200;OK";3;0;;;;
2023-11-05 15:37:19.842;"1797127210";"MtC setup";"(SIP);487;Request Terminated";0;0.6;;;;
2023-11-05 15:37:19.862;"1765835215";"MtC setup";"(SIP);486;Busy Here";0;0.8;;;;
2023-11-05 15:37:19.898;"1763805839";"MoC setup";"(SIP);487;Request Terminated";2.3;0;;;;
2023-11-05 15:37:19.932;"1797167741";"MoC release";"(SIP);200;OK";;;0;4.1;1.7;14
2023-11-05 15:37:19.932;"1797167741";"MoC setup";"(SIP);200;OK";0.9;0;;;;
2023-11-05 15:37:19.935;"1763268684";"MoC setup";"(SIP);486;Busy Here";0;0;;;;
2023-11-05 15:37:19.960;"1763827329";"MtC release";"(SIP);200;OK";;;4;4;4.2;51.9
2023-11-05 15:37:19.960;"1763827329";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:19.978;"1763429679";"MoC setup";"(SIP Reason)(Q.850);19;No answer from user (user alerted)";1.8;0;;;;
2023-11-05 15:37:19.994;"1763719430";"MtC release";"(SIP);200;OK";;;0;1.7;4.1;14
2023-11-05 15:37:19.994;"1763719430";"MtC setup";"(SIP);200;OK";0;0.5;;;;
2023-11-05 15:37:19.997;"1797176144";"MtC release";"(SIP);200;OK";;;1;3.7;4;14.8
2023-11-05 15:37:19.997;"1797176144";"MtC setup";"(SIP);200;OK";0;0.6;;;;
2023-11-05 15:37:20.080;"1763406183";"MtC release";"(SIP);200;OK";;;0;3.7;4;123
2023-11-05 15:37:20.080;"1763406183";"MtC setup";"(SIP);200;OK";0;0.5;;;;
2023-11-05 15:37:20.086;"1763151123";"MoC setup";"(SIP);487;Request Terminated";3.6;0;;;;
2023-11-05 15:37:20.159;"1763492203";"MtC release";"(SIP);200;OK";;;0;4.2;4.2;42.9
2023-11-05 15:37:20.159;"1763492203";"MtC setup";"(SIP);200;OK";0;0.3;;;;
2023-11-05 15:37:20.171;"1763123648";"MoC release";"(SIP);200;OK";;;68;3.2;4.1;36
2023-11-05 15:37:20.171;"1763123648";"MoC setup";"(SIP);200;OK";2.9;0;;;;
2023-11-05 15:37:20.183;"1763954311";"MtC release";"(SIP);200;OK";;;1;3.8;4;25
2023-11-05 15:37:20.183;"1763954311";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:20.212;"1797172149";"MoC release";"(SIP);200;OK";;;0;4;4.1;66
2023-11-05 15:37:20.212;"1797172149";"MoC setup";"(SIP);200;OK";2.5;0;;;;
2023-11-05 15:37:20.214;"1763405917";"MoC setup";"(SIP);487;Request Terminated";0;0;;;;
2023-11-05 15:37:20.239;"1763961685";"MoC setup";"(SIP Reason)(Q.850);19;No answer from user (user alerted)";2.6;0;;;;
2023-11-05 15:37:20.240;"1797167559";"MoC setup";"(SIP);486;Busy Here";1.3;0;;;;
2023-11-05 15:37:20.244;"1763910753";"MtC release";"(SIP);200;OK";;;3;4.1;3.2;36
2023-11-05 15:37:20.244;"1763910753";"MtC setup";"(SIP);200;OK";0;1;;;;
2023-11-05 15:37:20.245;"1763117085";"MoC release";"(SIP);200;OK";;;2;4;3.8;25.1
2023-11-05 15:37:20.245;"1763117085";"MoC setup";"(SIP);200;OK";1.6;0;;;;
2023-11-05 15:37:20.430;"1763249526";"MoC setup";"(SIP);487;Request Terminated";1.6;0;;;;
2023-11-05 15:37:20.452;"1763720473";"MtC release";"(SIP);200;OK";;;1;3.8;3.7;7
2023-11-05 15:37:20.452;"1763720473";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:20.455;"1763140665";"MoC release";"(SIP);200;OK";;;1;4.2;4.2;261.9
2023-11-05 15:37:20.455;"1763140665";"MoC setup";"(SIP);200;OK";2.3;0;;;;
2023-11-05 15:37:20.524;"1765859238";"MtC release";"(SIP);200;OK";;;3;4.1;4.2;80.6
2023-11-05 15:37:20.524;"1765859238";"MtC setup";"(SIP);200;OK";0;0.7;;;;
2023-11-05 15:37:20.537;"1763755219";"MoC release";"(SIP);200;OK";;;0;4.2;4.2;10.4
2023-11-05 15:37:20.537;"1763755219";"MoC setup";"(SIP);200;OK";3.1;0;;;;
2023-11-05 15:37:20.565;"1763971266";"MtC release";"(SIP);200;OK";;;16;3.7;4;896.6
2023-11-05 15:37:20.565;"1763971266";"MtC setup";"(SIP);200;OK";0;0.6;;;;
2023-11-05 15:37:20.592;"1763067887";"MoC release";"(SIP);200;OK";;;2;3.8;4.1;53.1
2023-11-05 15:37:20.592;"1763067887";"MoC setup";"(SIP);200;OK";1.9;0;;;;
2023-11-05 15:37:20.630;"1763265765";"MoC setup";"(SIP);486;Busy Here";0;0;;;;
2023-11-05 15:37:20.710;"1767237561";"MoC release";"(SIP);200;OK";;;6;4;4.1;40.4
2023-11-05 15:37:20.710;"1767237561";"MoC setup";"(SIP);200;OK";3.6;0;;;;
2023-11-05 15:37:20.781;"1763839264";"MoC release";"(SIP);200;OK";;;0;3.9;4.1;124.8
2023-11-05 15:37:20.781;"1763839264";"MoC setup";"(SIP);200;OK";0.8;0;;;;
2023-11-05 15:37:20.833;"1763495104";"MoC release";"(SIP);200;OK";;;15;3.9;4.1;677.4
2023-11-05 15:37:20.833;"1763495104";"MoC setup";"(SIP);200;OK";2.4;0;;;;
2023-11-05 15:37:20.850;"1763267185";"MoC setup";"(SIP);487;Request Terminated";1.3;0;;;;
2023-11-05 15:37:20.862;"1763491490";"MtC release";"(SIP);200;OK";;;0;4.2;4.2;36.1
2023-11-05 15:37:20.862;"1763491490";"MtC setup";"(SIP);200;OK";0;0.5;;;;
2023-11-05 15:37:20.874;"1763225309";"MtC setup";"(SIP);487;Request Terminated";0;0.6;;;;
2023-11-05 15:37:20.914;"1763093585";"MtC release";"(SIP);200;OK";;;0;4;4;117.5
2023-11-05 15:37:20.914;"1763093585";"MtC setup";"(SIP);200;OK";0;0.6;;;;
2023-11-05 15:37:20.962;"1763993607";"MtC setup";"(SIP);487;Request Terminated";0;0.3;;;;
2023-11-05 15:37:20.983;"1768255580";"MtC release";"(SIP);200;OK";;;12;2.7;4;10.1
2023-11-05 15:37:20.983;"1768255580";"MtC setup";"(SIP);200;OK";0;1.1;;;;
2023-11-05 15:37:21.041;"1797163138";"MoC release";"(SIP);200;OK";;;0;4;4;5.9
2023-11-05 15:37:21.041;"1797163138";"MoC setup";"(SIP);200;OK";3.1;0;;;;
2023-11-05 15:37:21.086;"1763599833";"MoC release";"(SIP);200;OK";;;0;4;4.1;18.8
2023-11-05 15:37:21.086;"1763599833";"MoC setup";"(SIP);200;OK";1.9;0;;;;
2023-11-05 15:37:21.165;"1765850204";"MoC release";"(SIP);200;OK";;;0;4;4.1;24.2
2023-11-05 15:37:21.165;"1765850204";"MoC setup";"(SIP);200;OK";2.5;0;;;;
2023-11-05 15:37:21.183;"1763000047";"MoC setup";"(SIP);488;Not Acceptable Here";0;0;;;;
2023-11-05 15:37:21.186;"1763524947";"MtC release";"(SIP);200;OK";;;1;4;4.1;50.4
2023-11-05 15:37:21.186;"1763524947";"MtC setup";"(SIP);200;OK";0;0.3;;;;
2023-11-05 15:37:21.193;"1761457770";"MoC release";"(SIP);200;OK";;;4;4.1;4.2;126.6
2023-11-05 15:37:21.193;"1761457770";"MoC setup";"(SIP);200;OK";3.1;0;;;;
2023-11-05 15:37:21.243;"1763967687";"MtC release";"(SIP);200;OK";;;37;4.1;4.2;1292.3
2023-11-05 15:37:21.243;"1763967687";"MtC setup";"(SIP);200;OK";0;0.3;;;;
2023-11-05 15:37:21.254;"1765850202";"MtC release";"(SIP);200;OK";;;0;4.1;4.1;24.2
2023-11-05 15:37:21.254;"1763176620";"MoC release";"(SIP);200;OK";;;2;3.8;4.1;31.1
2023-11-05 15:37:21.254;"1765850202";"MtC setup";"(SIP);200;OK";0;0.8;;;;
2023-11-05 15:37:21.254;"1763176620";"MoC setup";"(SIP);200;OK";3.1;0;;;;
2023-11-05 15:37:21.255;"1768257660";"MoC release";"(SIP);200;OK";;;1;4;4;49.3
2023-11-05 15:37:21.255;"1768257660";"MoC setup";"(SIP);200;OK";3.9;0;;;;
2023-11-05 15:37:21.261;"1763048623";"MoC release";"(SIP);200;OK";;;0;4.2;4.1;24.2
2023-11-05 15:37:21.261;"1763048623";"MoC setup";"(SIP);200;OK";1.3;0;;;;
2023-11-05 15:37:21.268;"1765829577";"MtC release";"(SIP);200;OK";;;3;4.2;4.1;126.6
2023-11-05 15:37:21.268;"1765829577";"MtC setup";"(SIP);200;OK";0;1.3;;;;
2023-11-05 15:37:21.306;"1765808220";"MtC release";"(SIP);200;OK";;;0;4;4.1;9.8
2023-11-05 15:37:21.306;"1765808220";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:21.307;"1761456346";"MtC release";"(SIP);200;OK";;;0;3.9;4;20
2023-11-05 15:37:21.307;"1761456346";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:21.326;"1763276821";"MtC release";"(SIP);200;OK";;;0;4.1;4.2;24.2
2023-11-05 15:37:21.326;"1763276821";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:21.377;"1763298139";"MoC release";"(SIP);200;OK";;;0;4.2;4.2;25.8
2023-11-05 15:37:21.377;"1763298139";"MoC setup";"(SIP);200;OK";3.4;0;;;;
2023-11-05 15:37:21.394;"1797188461";"MoC setup";"(SIP);486;Busy Here";2.1;0;;;;
2023-11-05 15:37:21.413;"1766532136";"MoC release";"(SIP);200;OK";;;18;4;4.2;160.4
2023-11-05 15:37:21.413;"1766532136";"MoC setup";"(SIP);200;OK";2;0;;;;
2023-11-05 15:37:21.516;"1768251765";"MoC setup";"(SIP);487;Request Terminated";0;0;;;;
2023-11-05 15:37:21.544;"1797135117";"MoC release";"(SIP);200;OK";;;0;4.1;4.2;68.8
2023-11-05 15:37:21.544;"1797135117";"MoC setup";"(SIP);200;OK";1.4;0;;;;
2023-11-05 15:37:21.619;"1763411844";"MoC setup";"(SIP);487;Request Terminated";5.1;0;;;;
2023-11-05 15:37:21.657;"1763285132";"MoC setup";"(SIP);487;Request Terminated";0;0;;;;
2023-11-05 15:37:21.669;"1763957015";"MtC release";"(SIP);200;OK";;;5;3.9;3.7;20
2023-11-05 15:37:21.669;"1763957015";"MtC setup";"(SIP);200;OK";0;0.4;;;;
2023-11-05 15:37:21.691;"1763477954";"MoC release";"(SIP);200;OK";;;2;4;4.1;6.4
2023-11-05 15:37:21.691;"1763477954";"MoC setup";"(SIP);200;OK";1.5;0;;;;
2023-11-05 15:37:21.698;"1763512622";"MtC setup";"(SIP);487;Request Terminated";0;0.6;;;;
2023-11-05 15:37:21.712;"1763260843";"MoC release";"(SIP);200;OK";;;0;4.1;4;30.4
